district_code,no,pref_name,city_name,facility_name,facility_kana,facilty_en,address,facility_other_name,toilet_postion,lat,lng,count_male_total,count_male_urinal,count_male_jp_style,count_male_west_style,count_female_total,count_female_jp_style,count_female_west_style,count_all,count_jp_style_all,count_west_style_all,count_multifunctional,available_wheelchairl,available_baby,available_ostomate,available_from,available_to,available_time_info,image,image_licencce,remark
271004,"",大阪府,大阪市,城北公園　公衆トイレ４,シロキタコウエン　コウシュウトイレ４,"","","","",34.729398,135.5359483,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,靭公園　公衆トイレ１,ウツボコウエン　コウシュウトイレ１,"","","","",34.6835287,135.4894201,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,靭公園　公衆トイレ２,ウツボコウエン　コウシュウトイレ２,"","","","",34.6852794,135.4931196,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,靭公園　公衆トイレ３,ウツボコウエン　コウシュウトイレ３,"","","","",34.6863298,135.4950437,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,靭公園　公衆トイレ４,ウツボコウエン　コウシュウトイレ４,"","","","",34.6860524,135.4961366,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺公園　公衆トイレ１,テンノウジコウエｎ　コウシュウトイレ１,"","","","",34.6492826,135.5099609,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺公園　公衆トイレ２,テンノウジコウエン　コウシュウトイレ２,"","","","",34.6480167,135.5118771,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺公園　公衆トイレ３,テンノウジコウエン　コウシュウトイレ３,"","","","",34.6492811,135.5110652,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺公園　公衆トイレ４,テンノウジコウエン　コウシュウトイレ４,"","","","",34.6496306,135.5097137,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺公園　公衆トイレ５,テンノウジコウエン　コウシュウトイレ５,"","","","",34.6519001,135.5122025,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺動物園　公衆トイレ１,テンノウジドウブツエン　コウシュウトイレ１,"","","","",34.6493831,135.5069743,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺動物園　公衆トイレ２,テンノウジドウブツエン　コウシュウトイレ２,"","","","",34.6498745,135.5072849,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺動物園　公衆トイレ３,テンノウジドウブツエン　コウシュウトイレ３,"","","","",34.6496369,135.5084592,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺動物園　公衆トイレ４,テンノウジドウブツエン　コウシュウトイレ４,"","","","",34.6503929,135.5086384,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺動物園　公衆トイレ５,テンノウジドウブツエン　コウシュウトイレ５,"","","","",34.65054,135.5074243,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺動物園　公衆トイレ６,テンノウジドウブツエン　コウシュウトイレ６,"","","","",34.6509401,135.5074762,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺動物園　公衆トイレ７,テンノウジドウブツエン　コウシュウトイレ７,"","","","",34.6513887,135.5082914,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺動物園　公衆トイレ８,テンノウジドウブツエン　コウシュウトイレ８,"","","","",34.651371,135.5094644,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺動物園　公衆トイレ９,テンノジドウブツエン　コウシュウトイレ９,"","","","",34.6531279,135.5092293,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天王寺動物園　公衆トイレ１０,テンノウジドウブツエン　コウシュウトイレ１０,"","","","",34.6537611,135.5083804,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長居植物園　公衆トイレ１,ナガイショクブツエン　コウシュウトイレ１,"","","","",34.6111231,135.5206936,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長居植物園　公衆トイレ２,ナガイショクブツエン　コウシュウトイレ２,"","","","",34.6100144,135.5253269,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長居植物園　公衆トイレ３,ナガイショクブツエン　コウシュウトイレ３,"","","","",34.6128568,135.5260538,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長居植物園　公衆トイレ４,ナガイショクブツエン　コウシュウトイレ４,"","","","",34.6146023,135.5242718,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長居植物園　公衆トイレ５,ナガイショクブツエン　コウシュウトイレ５,"","","","",34.6135074,135.5238554,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長居公園　公衆トイレ１,ナガイコウエン　コウシュウトイレ１,"","","","",34.6102203,135.5146677,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長居公園　公衆トイレ２,ナガイコウエン　コウシュウトイレ２,"","","","",34.6097398,135.5156715,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長居公園　公衆トイレ３,ナガイコウエン　コウシュウトイレ３,"","","","",34.6099002,135.5264318,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長居公園　公衆トイレ４,ナガイコウエン　コウシュウトイレ４,"","","","",34.6114122,135.519656,"","","","","","","","","","","","","","","","","","","",""
